Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб сайт 1,Веб сайт 2,Веб сайт 3,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Samurai,студия-магазин татуировки и расходных материалов для тату-салонов,Тату-салоны; Косметика / расходные материалы для салонов красоты,"Кирова, 120",цокольный этаж,655001,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,89831943151,,,,,,,,,https://vk.com/samurai_tattoo_abakan,,,53.726784,91.430717,https://2gis.com/firm/70000001043849669
LEON,салон красоты,Парикмахерские; Услуги косметолога; Услуги массажиста; Ногтевые студии; SPA-процедуры; Эпиляция; Услуги по уходу за ресницами / бровями; Услуги визажиста; Тату-салоны,"Чертыгашева, 63а",2 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,83902322332,89503022332,,,,http://leon-salon.ru/,,,,https://vk.com/leon__salon,,,53.724682,91.44943,https://2gis.com/firm/70000001038143600
Особа,студия красоты,Парикмахерские; Услуги косметолога; Ногтевые студии; Услуги массажиста; Тату-салоны,"проспект Дружбы народов, 43а",1 этаж,655016,8-й микрорайон,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,89134444077,,,,,,,,,,,,53.742922,91.416261,https://2gis.com/firm/70000001046818448
Shic,салон красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Тату-салоны; Обучение мастеров для салонов красоты; Косметика / расходные материалы для салонов красоты; Эпиляция; Услуги косметолога,"Стофато, 12а",,655009,МПС,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,89134434059,89134431799,,,,,,,,,,,53.697734,91.402317,https://2gis.com/firm/70000001032791349
Стиль красоты,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Эпиляция; Обучение мастеров для салонов красоты; Тату-салоны,"Лермонтова, 21",1 этаж,655016,9-й микрорайон,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительному звонку: пн-вс),89233954098 (кабинет косметолога),89831939800 (кабинет бровиста),89130573434 (кабинет эпиляции ),,,,,,,,,,53.739797,91.417449,https://2gis.com/firm/70000001045242117
Credo,тату-салон,Тату-салоны; Оборудование для салонов красоты; Услуги по уходу за ресницами / бровями; Косметика / расходные материалы для салонов красоты,"Пушкина, 97",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00 (по предварительной записи: пн-сб),89832753000,,,,,,,,,,,,53.718171,91.457609,https://2gis.com/firm/9711414977518258
Секта,салон красоты,Парикмахерские; Услуги по уходу за ресницами / бровями; Тату-салоны; Услуги косметолога,"Некрасова, 45",,655001,Арбан,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,89333331313,,,,,,,,,https://vk.com/sekta__19,,,53.730122,91.414149,https://2gis.com/firm/70000001060286186
New skin tatoo,тату-салон,Тату-салоны,"Арбан, 2 к1",123 офис,655001,Арбан,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи: пн-вс),89130588933,,,,,,,,,https://vk.com/tattoonewskin,,,53.726881,91.416023,https://2gis.com/firm/70000001028877296
Victoria,студия красоты,Тату-салоны; Услуги по уходу за ресницами / бровями; Услуги косметолога,"проспект Дружбы народов, 39",1 этаж,655016,8-й микрорайон,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 08:30-19:00; Вс: 08:30-19:00 (по предварительной записи: пн-вс),89232152662,,,,,,,,,,,,53.742917,91.419576,https://2gis.com/firm/70000001007243071
InkStreet,тату-студия,Тату-салоны,"Вяткина, 39",4 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89016009881,,,,,,,,,https://vk.com/tattooinkstreet,,,53.725993,91.446283,https://2gis.com/firm/70000001038349260
Compliment,имидж-студия красоты,Парикмахерские; Ногтевые студии; Тату-салоны,"Кати Перекрещенко, 2",1 этаж,655010,2-й микрорайон,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89232106611 (кабинет маникюра),89130501795 (парикмахерский зал ),,,,,,,,,,,53.739865,91.433083,https://2gis.com/firm/70000001017589647
Студия красоты,,Парикмахерские; Тату-салоны; Ногтевые студии,"Лермонтова, 25",1 этаж,655016,9-й микрорайон,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89233987513,89235937997,,,,,,,,,,,53.739675,91.416511,https://2gis.com/firm/9711414977502403
Студия красоты,,Услуги косметолога; Тату-салоны,"Щетинкина, 9",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:30-17:00; Вт: 10:30-17:00; Ср: 10:30-17:00; Чт: 10:30-17:00; Пт: 10:30-17:00 (по предварительной записи: пн-пт),89232173980,,,,,,,,,https://vk.com/tattooage_abakan,,,53.718726,91.444279,https://2gis.com/firm/70000001038208829
Meduzzza,тату-студия,Тату-салоны,"Чертыгашева, 84",3 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,89232158737,89235983058,89238982287,,,,,,,https://vk.com/tattoomeduza,,,53.725882,91.450113,https://2gis.com/firm/70000001045274793
Sati permanent makeup school-studio,салон красоты,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Торосова, 9а",цокольный этаж,655016,9-й микрорайон,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89832577083,89830546717,,,,,,,,https://vk.com/salonabakan,,,53.738456,91.417762,https://2gis.com/firm/70000001035122368
Салон-парикмахерская,,Парикмахерские; Услуги по уходу за ресницами / бровями; Услуги косметолога; Эпиляция; Тату-салоны,"Стофато, 2",1 этаж,655009,МПС,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89233926882,89235977735,,,,,,,,,,,53.69737,91.405252,https://2gis.com/firm/70000001028295781
Т69,тату-салон,Тату-салоны,"Крылова, 78",4 этаж; Barbershop Папас,655003,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00,89832780069,,,,,http://t69tulin.ru,,,,,https://youtube.com/channel/UCkqYa8KyipTUOvfrknEWWpA,,53.735985,91.441614,https://2gis.com/firm/9711414977498054
Fairy home tattoo,тату-студия,Тату-салоны,"Кирова, 112/1",2 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),,,,,,,,,,https://vk.com/linavalerich,,,53.728102,91.437931,https://2gis.com/firm/70000001055780591
FOXY TATTOO,тату-салон,Тату-салоны; Услуги косметолога,"Некрасова, 12",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00 (по предварительной записи: пн-сб),,,,,,,,,,,,,53.72088,91.425311,https://2gis.com/firm/70000001022053989
Tattoo Cat,,Тату-салоны,"Пушкина, 99-4н",3 офис,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),89020130043,,,,,http://vk.link/tatoocat_9900,,,,https://vk.com/tatoocat_9900,,,53.717096,91.455482,https://2gis.com/firm/70000001047539835
Tattoo,тату-салон,Тату-салоны,"Вяткина, 18а",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи: пн-вс),89061925927,,,,,,,,,https://vk.com/id199830907,,,53.726395,91.448296,https://2gis.com/firm/70000001055037220
Skyce smile,федеральная сеть студий,Обучение мастеров для салонов красоты; Косметика / расходные материалы для салонов красоты; Украшения для пирсинга; Тату-салоны; Услуги по уходу за ресницами / бровями,"Карла Маркса, 19",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,,,,,,http://taplink.cc/skyce.smile,,,,,,,53.722862,91.439696,https://2gis.com/firm/70000001059484841
Tattooreiizzen,,Тату-салоны,"Некрасова, 23",,655004,Западный,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,89312895477,,,,,,,,,https://vk.com/ssshhhitttttt,,,53.720182,91.42364,https://2gis.com/firm/70000001060650569
Жемчужина,салон красоты,Парикмахерские; Услуги массажиста; Ногтевые студии; Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Калинина, 16",60Н помещение; 1 этаж,655163,Искожевский квартал,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,89235860036,,,,,,,,,,,,53.827221,91.33633,https://2gis.com/firm/70000001027091186
Виктория,салон-парикмахерская,Парикмахерские; Ногтевые студии; Услуги массажиста; Услуги косметолога; Тату-салоны; Услуги визажиста; Услуги по уходу за ресницами / бровями,"Калинина, 24",1 этаж,655163,Крепость,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,89235985977,,,,,,,,,https://vk.com/id510438692,,,53.829156,91.332148,https://2gis.com/firm/70000001052787450
Виктория,салон-парикмахерская,Парикмахерские; Ногтевые студии; Услуги массажиста; Услуги косметолога; Тату-салоны; Услуги визажиста; Услуги по уходу за ресницами / бровями,"Юбилейная, 32/3",1 этаж,655163,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89235819319,,,,,,,,,https://vk.com/id510438692,,,53.831399,91.344766,https://2gis.com/firm/70000001025209105
TattooShaman,тату-салон,Тату-салоны; Услуги по уходу за ресницами / бровями,"Юбилейная, 12",1 этаж,655158,Искожевский квартал,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (по предварительной записи: пн-вс),89069520314,89095241734,,,,,,,,https://vk.com/chazybaev,,,53.826134,91.327983,https://2gis.com/firm/70000001032197058
Samurai,студия-магазин татуировки и расходных материалов для тату-салонов,Тату-салоны; Косметика / расходные материалы для салонов красоты,"Тимирязева, 1Б",4 этаж,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89831943151,,,,,,,,,https://vk.com/samurai_tattoo_minusinsk,,,53.695943,91.661129,https://2gis.com/firm/70000001046796338
Bodmody,,Тату-салоны; Украшения для пирсинга; Услуги косметолога; Услуги росписи по телу,"Тимирязева, 1Б",6 кабинет; 4 этаж,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 09:30-20:00; Вт: 09:30-20:00; Ср: 09:30-20:00; Чт: 09:30-20:00; Пт: 09:30-20:00; Сб: 09:30-20:00; Вс: 09:30-20:00,89831461526,,,,,,,,,https://vk.com/bodmody,,,53.695943,91.661129,https://2gis.com/firm/70000001052910680
Katana,,Тату-салоны,"Ванеева, 5",,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-17:00,89835749167,,,,,,,,,,,,53.690732,91.673576,https://2gis.com/firm/70000001060997087
Tattoo Studio,,Тату-салоны,"Ленинградский микрорайон, 19",1 этаж,655602,Ленинградский м-н,,Саяногорск,Саяногорск городской округ,Республика Хакасия,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи: пн-вс),89159896983,,,,,,,,,https://vk.com/kotrikov_tattoo,,,53.103991,91.403105,https://2gis.com/firm/70000001054740108
Beautiful_style_pm,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Советский микрорайон, 14",1 офис; 1 этаж,655602,Советский м-н,,Саяногорск,Саяногорск городской округ,Республика Хакасия,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,89831953387,,,,,http://mst.link/stepanova_elena10,,,,,,,53.100154,91.40748,https://2gis.com/firm/70000001053557888
Franrinshtain,тату-студия,Тату-салоны,"улица 50 лет ВЛКСМ, 32",,,,,,Ширинский район,Республика Хакасия,Россия,Пн: 09:00-15:00; Вт: 09:00-15:00; Ср: 09:00-15:00; Чт: 09:00-15:00; Пт: 09:00-15:00,89234901780,,,,,,,,,,,,54.494644,89.976265,https://2gis.com/firm/70000001061718972
Wowtattoo,студия художественной татуировки,Тату-салоны,"Радищева, 4",1 этаж,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),89375873306,,,,,http://wow.tattoo,,,,https://vk.com/wow.tattoo,,,54.904529,52.297096,https://2gis.com/firm/70000001050826432
Lapteva Tattoo,,Тату-салоны,"Пушкина, 46",1 этаж,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-13:00 (по предварительной записи: пн-сб),,,,,,,,,,https://vk.com/lapteva_tattoo,,,54.906096,52.300157,https://2gis.com/firm/70000001055148166
БРОВИssimo,студия,Услуги по уходу за ресницами / бровями; Услуги визажиста; Ногтевые студии; Обучение мастеров для салонов красоты; Тату-салоны,"проспект Габдуллы Тукая, 4",1 этаж,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,,89178509533 (единый номер),,,,,,,,,https://vk.com/brovissimo_alm,,,54.910652,52.313816,https://2gis.com/firm/70000001032304785
Калибр,тату-студия,Тату-салоны; Обучение мастеров для салонов красоты,"Гафиатуллина, 9",1 этаж,423457,2Б м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89872219511,,,,,http://calibre.tattoo,,,,https://vk.com/calibre.tattoo,,,54.906,52.279805,https://2gis.com/firm/70000001006665772
Ananas tattoo,,Тату-салоны,"Ризы Фахретдина, 32",,423458,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),89233048445,,,,,http://vk.link/tattoo.ananas,,,,https://vk.com/tattoo.ananas,,,54.903215,52.3173,https://2gis.com/firm/70000001057289222
Кракен,тату-студия,Тату-салоны,"Мира, 2",2 этаж,423457,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи: пн-вс),,,,,,http://kraken-tattoo.nethouse.ru,,,,,,,54.900612,52.280293,https://2gis.com/firm/70000001032458068
NastiStudio,,Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги косметолога; Услуги визажиста; Парикмахерские; Тату-салоны,"Володарского, 24Б",,352931,Электротехнический,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,89181426992,,,,,,,,,,,,45.000507,41.104684,https://2gis.com/firm/70000001059465717
